datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2009-09-01,30,9,87
2009-09-02,31,13,82
2009-09-03,30,19,80
2009-09-04,28,19,79
2009-09-05,26,21,65
2009-09-06,26,18,82
2009-09-07,27,15,62
2009-09-08,28,15,64
2009-09-09,27,15,70
2009-09-10,26,13,71
2009-09-11,28,13,74
2009-09-12,28,13,74
2009-09-13,26,13,84
2009-09-14,25,21,87
2009-09-15,26,12,78
2009-09-16,22,22,90
2009-09-17,23,13,82
2009-09-18,25,13,82
2009-09-19,24,15,86
2009-09-20,22,10,88
2009-09-21,23,8,89
2009-09-22,23,16,88
2009-09-23,25,10,84
2009-09-24,26,17,84
2009-09-25,26,16,73
2009-09-26,26,11,76
2009-09-27,26,11,85
2009-09-28,26,8,85
2009-09-29,27,8,83
2009-09-30,27,8,81
2009-10-01,23,13,91
2009-10-02,24,13,89
2009-10-03,23,6,89
2009-10-04,24,17,92
2009-10-05,23,10,88
2009-10-06,25,9,84
2009-10-07,27,8,84
2009-10-08,29,10,80
2009-10-09,24,17,88
2009-10-10,22,19,90
2009-10-11,25,9,87
2009-10-12,26,38,80
2009-10-13,22,11,58
2009-10-14,21,8,76
2009-10-15,18,14,70
2009-10-16,17,14,72
2009-10-17,18,24,88
2009-10-18,16,19,75
2009-10-19,16,12,75
2009-10-20,18,17,74
2009-10-21,22,24,90
2009-10-22,20,23,84
2009-10-23,16,35,91
2009-10-24,20,27,70
2009-10-25,21,15,72
2009-10-26,21,9,85
2009-10-27,22,8,86
2009-10-28,22,13,86
2009-10-29,20,11,87
2009-10-30,20,7,91
2009-10-31,18,10,85
2009-11-01,19,10,85
2009-11-02,19,29,94
2009-11-03,18,48,87
2009-11-04,18,25,88
2009-11-05,17,24,82
2009-11-06,16,23,83
2009-11-07,17,29,82
2009-11-08,15,33,88
2009-11-09,13,6,82
2009-11-10,15,20,82
2009-11-11,16,12,84
2009-11-12,16,10,83
2009-11-13,17,13,91
2009-11-14,19,14,91
2009-11-15,20,14,89
2009-11-16,21,17,87
2009-11-17,21,13,89
2009-11-18,20,13,65
2009-11-19,20,13,72
2009-11-20,19,14,80
2009-11-21,20,5,81
2009-11-22,22,13,87
2009-11-23,18,29,79
2009-11-24,17,29,80
2009-11-25,18,11,90
2009-11-26,18,19,90
2009-11-27,17,12,86
