datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2009-06-16,30.0,10.0,79.0
2009-06-17,29.0,9.0,77.0
2009-06-18,30.0,10.0,81.0
2009-06-19,30.0,18.0,89.0
2009-06-20,27.0,20.0,89.0
2009-06-21,21.0,37.0,87.0
2009-06-22,24.0,11.0,78.0
2009-06-23,24.0,22.0,80.0
2009-06-24,25.0,17.0,71.0
2009-06-25,27.0,18.0,88.0
2009-06-26,26.0,18.0,86.0
2009-06-27,27.0,20.0,91.0
2009-06-28,26.0,17.0,89.0
2009-06-29,27.0,17.0,95.0
2009-06-30,28.0,10.0,93.0
2009-07-01,28.0,9.0,89.0
2009-07-02,29.0,15.0,91.0
2009-07-03,29.0,15.0,92.0
2009-07-04,30.0,16.0,94.0
2009-07-05,29.0,17.0,93.0
2009-07-06,28.0,19.0,93.0
2009-07-07,29.0,18.0,85.0
2009-07-08,26.0,26.0,76.0
2009-07-09,27.0,24.0,71.0
2009-07-10,26.0,24.0,76.0
2009-07-11,27.0,17.0,74.0
2009-07-12,26.0,15.0,74.0
2009-07-13,31.0,5.0,75.0
2009-07-14,32.0,18.0,64.0
2009-07-15,30.0,11.0,75.0
2009-07-16,34.0,6.0,80.0
2009-07-17,31.0,20.0,75.0
2009-07-18,24.0,39.0,63.0
2009-07-19,26.0,19.0,64.0
2009-07-20,27.0,16.0,77.0
2009-07-21,29.0,9.0,73.0
2009-07-22,33.0,11.0,61.0
2009-07-23,32.0,20.0,44.0
2009-07-24,33.0,17.0,68.0
2009-07-25,28.0,22.0,70.0
2009-07-26,30.0,10.0,68.0
2009-07-27,31.0,8.0,72.0
2009-07-28,30.0,13.0,58.0
2009-07-29,32.0,10.0,72.0
2009-07-30,31.0,13.0,71.0
2009-07-31,30.0,15.0,77.0
2009-08-01,30.0,11.0,73.0
2009-08-02,31.0,13.0,75.0
2009-08-03,27.0,18.0,79.0
2009-08-04,28.0,13.0,68.0
2009-08-05,30.0,14.0,65.0
2009-08-06,31.0,11.0,60.0
2009-08-07,31.0,10.0,70.0
2009-08-08,31.0,9.0,84.0
2009-08-09,31.0,4.0,79.0
2009-08-10,30.0,18.0,84.0
2009-08-11,28.0,16.0,83.0
2009-08-12,31.0,6.0,80.0
2009-08-13,31.0,8.0,77.0
2009-08-14,30.0,9.0,80.0
2009-08-15,33.0,8.0,76.0
2009-08-16,32.0,8.0,73.0
2009-08-17,32.0,15.0,76.0
2009-08-18,31.0,10.0,79.0
2009-08-19,33.0,5.0,80.0
2009-08-20,33.0,11.0,66.0
2009-08-21,33.0,12.0,72.0
2009-08-22,32.0,17.0,82.0
2009-08-23,31.0,14.0,83.0
2009-08-24,31.0,10.0,80.0
2009-08-25,31.0,7.0,81.0
2009-08-26,29.0,12.0,88.0
2009-08-27,29.0,8.0,87.0
2009-08-28,31.0,11.0,83.0
2009-08-29,29.0,19.0,86.0
2009-08-30,29.0,9.0,75.0
2009-08-31,29.0,6.0,90.0
2009-09-01,30.0,9.0,87.0
2009-09-02,31.0,13.0,82.0
2009-09-03,30.0,19.0,80.0
2009-09-04,28.0,19.0,79.0
2009-09-05,26.0,21.0,65.0
2009-09-06,26.0,18.0,82.0
2009-09-07,27.0,15.0,62.0
2009-09-08,28.0,15.0,64.0
2009-09-09,27.0,15.0,70.0
2009-09-10,26.0,13.0,71.0
2009-09-11,28.0,13.0,74.0
2009-09-12,28.0,13.0,74.0
2009-09-13,26.0,13.0,84.0
2009-09-14,25.0,21.0,87.0
2009-09-15,26.0,12.0,78.0
2009-09-16,22.0,22.0,90.0
2009-09-17,23.0,13.0,82.0
2009-09-18,25.0,13.0,82.0
2009-09-19,24.0,15.0,86.0
2009-09-20,22.0,10.0,88.0
2009-09-21,23.0,8.0,89.0
2009-09-22,23.0,16.0,88.0
2009-09-23,25.0,10.0,84.0
2009-09-24,26.0,17.0,84.0
2009-09-25,26.0,16.0,73.0
2009-09-26,26.0,11.0,76.0
2009-09-27,26.0,11.0,85.0
2009-09-28,26.0,8.0,85.0
2009-09-29,27.0,8.0,83.0
2009-09-30,27.0,8.0,81.0
2009-10-01,23.0,13.0,91.0
2009-10-02,24.0,13.0,89.0
2009-10-03,23.0,6.0,89.0
2009-10-04,24.0,17.0,92.0
2009-10-05,23.0,10.0,88.0
2009-10-06,25.0,9.0,84.0
2009-10-07,27.0,8.0,84.0
2009-10-08,29.0,10.0,80.0
2009-10-09,24.0,17.0,88.0
2009-10-10,22.0,19.0,90.0
2009-10-11,25.0,9.0,87.0
2009-10-12,26.0,38.0,80.0
2009-10-13,22.0,11.0,58.0
2009-10-14,21.0,8.0,76.0
2009-10-15,18.0,14.0,70.0
2009-10-16,17.0,14.0,72.0
2009-10-17,18.0,24.0,88.0
2009-10-18,16.0,19.0,75.0
2009-10-19,16.0,12.0,75.0
2009-10-20,18.0,17.0,74.0
2009-10-21,22.0,24.0,90.0
2009-10-22,20.0,23.0,84.0
2009-10-23,16.0,35.0,91.0
2009-10-24,20.0,27.0,70.0
2009-10-25,21.0,15.0,72.0
2009-10-26,21.0,9.0,85.0
2009-10-27,22.0,8.0,86.0
2009-10-28,22.0,13.0,86.0
2009-10-29,20.0,11.0,87.0
2009-10-30,20.0,7.0,91.0
2009-10-31,18.0,10.0,85.0
2009-11-01,19.0,10.0,85.0
2009-11-02,19.0,29.0,94.0
2009-11-03,18.0,48.0,87.0
2009-11-04,18.0,25.0,88.0
2009-11-05,17.0,24.0,82.0
2009-11-06,16.0,23.0,83.0
2009-11-07,17.0,29.0,82.0
2009-11-08,15.0,33.0,88.0
2009-11-09,13.0,6.0,82.0
2009-11-10,15.0,20.0,82.0
2009-11-11,16.0,12.0,84.0
