"2016-07-20",31,17,41
"2016-07-21",32,18,37
"2016-07-22",32,14,40
"2016-07-23",33,23,78
"2016-07-24",23,12,75
"2016-07-25",25,16,62
"2016-07-26",26,18,72
"2016-07-27",26,18,71
"2016-07-28",26,18,73
"2016-07-29",27,19,70
"2016-07-30",27,17,59
"2016-07-31",30,18,45
"2016-08-01",29,17,70
"2016-08-02",30,17,61
"2016-08-03",30,16,64
"2016-08-04",28,17,61
"2016-08-05",27,18,55
"2016-08-06",31,19,50
"2016-08-07",32,14,53
"2016-08-08",27,21,49
"2016-08-09",30,19,67
"2016-08-10",28,18,54
"2016-08-11",25,14,56
"2016-08-12",27,20,61
"2016-08-13",26,17,51
"2016-08-14",30,17,54
"2016-08-15",31,16,53
"2016-08-16",31,17,56
"2016-08-17",29,17,72
"2016-08-18",29,15,77
"2016-08-19",30,17,72
"2016-08-20",32,15,62
"2016-08-21",30,18,63
"2016-08-22",27,19,62
"2016-08-23",30,21,56
"2016-08-24",28,18,56
"2016-08-25",31,21,62
"2016-08-26",31,20,56
"2016-08-27",31,17,60
"2016-08-28",31,17,70
"2016-08-29",30,18,92
"2016-08-30",29,15,80
"2016-08-31",29,14,72
"2016-09-01",26,15,75
"2016-09-02",29,18,81
"2016-09-03",30,17,83
"2016-09-04",28,19,89
"2016-09-05",31,18,83
"2016-09-06",28,20,66
"2016-09-07",29,18,70
"2016-09-08",28,14,75
"2016-09-09",30,12,73
"2016-09-10",30,15,69
"2016-09-11",30,12,69
"2016-09-12",27,15,71
"2016-09-13",29,11,75
"2016-09-14",29,14,81
"2016-09-15",28,13,64
"2016-09-16",25,19,74
"2016-09-17",24,24,65
"2016-09-18",21,17,79
"2016-09-19",25,14,70
"2016-09-20",26,16,85
"2016-09-21",25,18,87
"2016-09-22",25,15,72
"2016-09-23",26,13,74
"2016-09-24",26,8,72
"2016-09-25",26,15,72
"2016-09-26",26,13,71
"2016-09-27",26,14,74
"2016-09-28",27,15,72
"2016-09-29",26,15,75
"2016-09-30",26,13,68
"2016-10-01",26,13,51
"2016-10-02",25,14,60
"2016-10-03",25,13,58
"2016-10-04",24,8,41
"2016-10-05",23,15,47
"2016-10-06",23,12,59
"2016-10-07",23,15,65
"2016-10-08",23,14,61
"2016-10-09",21,13,51
"2016-10-10",21,9,50
"2016-10-11",18,17,58
"2016-10-12",20,9,46
"2016-10-13",23,29,61
"2016-10-14",25,24,77
"2016-10-15",22,12,71
"2016-10-16",23,11,59
"2016-10-17",23,10,50
"2016-10-18",21,11,58
"2016-10-19",21,13,56
"2016-10-20",19,13,61
"2016-10-21",19,12,50
"2016-10-22",20,11,52
"2016-10-23",22,10,63
"2016-10-24",28,16,58
"2016-10-25",29,12,36
"2016-10-26",26,12,41
"2016-10-27",25,9,62
"2016-10-28",24,11,41
"2016-10-29",23,12,49
"2016-10-30",23,10,46
"2016-10-31",23,11,57
"2016-11-01",21,12,60
"2016-11-02",19,7,77
"2016-11-03",20,12,63
"2016-11-04",20,8,53
"2016-11-05",21,12,68
"2016-11-06",17,22,85
"2016-11-07",15,9,66
"2016-11-08",14,17,48
"2016-11-09",13,13,76
"2016-11-10",16,34,61
